grdc_no,river,station,area,altitude,lat_org,long_org,lat_pp,long_pp,dist_km,area_calc,quality,type,comment,source
1112500.0,BAFING,BAFING MAKANA,21700.0,-999.0,12.4354,-10.3146,12.435,-10.32,0.6,21849.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1134020.0,SANKARANI,GUELELINKORO,23300.0,-999.0,11.15,-8.55,11.15083,-8.55417,0.5,23585.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1134030.0,RIVER NIGER,BANANKORO,71750.0,329.0,11.6833,-8.6667,11.6812,-8.6646,0.3,70767.7,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134040.0,SANKARANI,GOUALA,35300.0,-999.0,11.97,-8.23,11.9688,-8.2312,0.2,33038.4,Medium,Automatic,Area difference 5-10% and distance <= 5 km,hydrosheds
1134050.0,SANKARANI,SELINGUE,34200.0,-999.0,11.58,-8.17,11.58,-8.17833,0.9,31901.0,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1134060.0,OUASSOULOU,YANFOLILA,4100.0,-999.0,11.13,-8.2,11.12458,-8.19958,0.6,4018.3,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1134080.0,BAOULE,MADINA DIASSA,7900.0,-999.0,10.8,-7.67,10.7975,-7.66917,0.3,8420.9,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1134100.0,RIVER NIGER,KOULIKORO,120000.0,290.0,12.8667,-7.55,12.8688,-7.5521,0.3,117937.7,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134110.0,BAOULE,BOUGOUNI,15700.0,-999.0,11.4,-7.45,11.3975,-7.45,0.3,14912.0,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1134150.0,BANIFING,KOLONDIEBA,3050.0,-999.0,11.07,-6.85,11.0688,-6.8479,0.3,3126.5,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134200.0,BAOULE,DIOILA,32500.0,-999.0,12.52,-6.8,12.52083,-6.8,0.1,31552.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1134220.0,BAGOE,PANKOUROU,31800.0,-999.0,11.42,-6.57,11.4188,-6.5687,0.2,31070.2,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134250.0,RIVER NIGER,KIRANGO AVAL,137000.0,274.0,13.7167,-6.05,13.7188,-6.0479,0.3,132332.1,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134300.0,BANI,DOUNA,101600.0,270.0,13.2167,-5.9,13.2146,-5.8979,0.3,101395.6,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134310.0,BANIFING,KOUORO 2,14300.0,-999.0,12.02,-5.68,12.025,-5.6825,0.6,14426.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1134320.0,BANIFING,KOUORO 1,-999.0,-999.0,12.02,-5.68,12.0229,-5.6854,0.7,14465.3,High,Manual,Station and river name could be identified,hydrosheds
1134350.0,LOTIO,KLELA,3685.0,-999.0,11.68,-5.58,11.6854,-5.5771,0.7,3670.2,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134400.0,RIVER NIGER,KE-MACINA,141000.0,-999.0,13.95,-5.37,13.9562,-5.3688,0.7,133137.3,Medium,Automatic,Area difference 5-10% and distance <= 5 km,hydrosheds
1134420.0,DIAKA,KARA,-999.0,-999.0,14.17,-5.02,14.1396,-5.0062,3.7,133916.2,Low,Manual,Stations were relocated manually,hydrosheds
1134450.0,BANI,BENENY-KEGNY,116000.0,-999.0,13.38,-4.92,13.3812,-4.9188,0.2,112485.4,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134460.0,RIVER NIGER,TILEMBEYA,143300.0,-999.0,14.15,-4.98,14.1479,-4.9812,0.3,133927.8,Medium,Automatic,Area difference 5-10% and distance <= 5 km,hydrosheds
1134480.0,BANI,SOFARA,129000.0,-999.0,14.02,-4.25,14.0188,-4.2438,0.7,126234.2,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134500.0,RIVER NIGER,NANTAKA (MOPTI),281600.0,260.0,14.53,-4.22,14.5396,-4.2062,1.8,274311.2,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1134505.0,BANI,MOPTI,-999.0,-999.0,14.53,-4.22,14.5062,-4.2021,3.3,128986.8,High,Automatic,Station and river name could be identified,hydrosheds
1134600.0,RIVER NIGER,AKKA,-999.0,-999.0,15.4,-4.23,15.3938,-4.2354,0.9,300661.5,High,Automatic,Station and river name could be identified,hydrosheds
1134620.0,TASSAKAN,GOUNDAM,-999.0,-999.0,16.42,-3.65,16.4271,-3.6521,0.8,8506.8,High,Automatic,Station and river name could be identified,hydrosheds
1134630.0,RIVER NIGER,TONKA,-999.0,-999.0,16.13,-3.75,16.1229,-3.7438,1.0,338781.1,High,Automatic,Station and river name could be identified,hydrosheds
1134650.0,BARA-ISSA,SARAFERE,-999.0,-999.0,15.82,-3.7,15.8188,-3.7021,0.3,14380.9,High,Automatic,Station and river name could be identified,hydrosheds
1134700.0,RIVER NIGER,DIRE,340000.0,256.0,16.2667,-3.3833,16.2688,-3.3812,0.3,360636.9,Medium,Automatic,Area difference 5-10% and distance <= 5 km,hydrosheds
1134705.0,RIVER NIGER,DIRE,-999.0,-999.0,16.2646,-3.3854,16.2646,-3.3854,0.0,360634.8,High,Manual,Station and river name could be identified,hydrosheds
1134730.0,RIVER NIGER,KORYOUME,342000.0,256.0,16.6666,-3.0333,16.6562,-3.0312,1.2,377377.8,Low,Automatic,Area difference 10-50% and distance <= 5 km,hydrosheds
1134850.0,RIVER NIGER,TOSSAYE,348000.0,-999.0,16.93,-0.58,16.9354,-0.5896,1.2,415130.4,Low,Automatic,Area difference 10-50% and distance <= 5 km,hydrosheds
1134900.0,RIVER NIGER,ANSONGO,566000.0,242.0,15.6667,0.5,15.6646,0.4979,0.3,528031.5,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1147010.0,CONGO RIVER,KINSHASA,3475000.0,-999.0,-4.3,15.3,-4.2854,15.3021,1.6,3619085.4,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1147011.0,CONGO RIVER,PONTHIERVILLE,948500.0,413.62,-0.35,25.45,-0.3604,25.4521,1.2,946013.2,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1147012.0,CONGO RIVER,KINDU,810440.0,419.86,-2.95,25.9167,-2.9479,25.9312,1.6,797751.6,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1147013.0,CONGO RIVER,KINSHASA-EAST (LEOPOLDVILLE-EST),3747320.0,272.12,-4.2938,15.2812,-4.2938,15.2812,0.0,3619103.1,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1150200.0,RIO CASSAI,KUTU-MOKE,737640.0,302.72,-3.1833,17.3833,-3.2146,17.3687,3.8,745286.5,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1150201.0,RIO CASSAI,PORT-FRANCQUI,232560.0,365.02,-4.3333,20.5833,-4.3438,20.5771,1.4,240654.4,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159100.0,ORANGE RIVER,VIOOLSDRIF (27811003),866486.0,152.0,-28.758,17.7216,-28.7604,17.7229,0.3,784765.19,Medium,Automatic,Area difference 5-10% and distance <= 5 km,hydrosheds
1159103.0,ORANGE RIVER,PELLA MISSION,859920.0,-999.0,-28.9634,19.1519,-28.9604,19.1521,0.3,763221.4,Low,Automatic,Area difference 10-50% and distance <= 5 km,hydrosheds
1159105.0,ORANGE RIVER,SENDELINGSDRIF,985370.0,-999.0,-28.0758,16.8983,-28.0771,16.8979,0.1,879726.4,Low,Automatic,Area difference 10-50% and distance <= 5 km,hydrosheds
1159110.0,VISRIVIER-OOS,HARDEHEUWEL (27814003),1502.0,1077.0,-31.8069,20.3581,-31.80708,20.35792,0.0,1500.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159120.0,RENOSTERRIVIER,BONEKRAAL (27814011),1679.0,1140.0,-31.8155,20.5781,-31.81625,20.57708,0.1,1680.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159125.0,RENOSTERRIVIER,LEEUWENKUIL,8938.0,-999.0,-31.4372,20.4742,-31.4375,20.47417,0.0,8939.5,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159130.0,SAK,HOL PADS LEEGTE (27814016),40073.0,919.0,-30.4747,20.5192,-30.475,20.51833,0.1,37900.0,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1159131.0,SAK,WINDHOEK (27814013),13116.0,1093.0,-31.3661,21.3222,-31.36667,21.3225,0.1,13152.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159290.0,ORANGE RIVER,KAKAMAS SOUTH NEUSBERG,366070.0,-999.0,-28.7747,20.7224,-28.7688,20.7229,0.7,346257.9,Medium,Automatic,Area difference 5-10% and distance <= 5 km,hydrosheds
1159300.0,ORANGE RIVER,UPINGTON,364560.0,-999.0,-28.4579,21.2392,-28.4646,21.2437,0.9,342100.71,Medium,Automatic,Area difference 5-10% and distance <= 5 km,hydrosheds
1159301.0,ORANGE RIVER,PRIESKA (27815102),339310.0,947.0,-29.6517,22.7459,-29.6562,22.7479,0.5,320122.61,Medium,Automatic,Area difference 5-10% and distance <= 5 km,hydrosheds
1159302.0,ORANGE RIVER,MARKSDRIFT (27815208),99316.0,997.0,-29.162,23.6959,-29.1604,23.6938,0.3,96899.7,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159304.0,ORANGE RIVER,IRENE,296170.0,-999.0,-29.1829,23.5751,-29.1812,23.5729,0.3,282506.3,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159305.0,SEEKOEIRIVIER,DE EERSTEPOORT,8266.0,-999.0,-30.5347,24.9625,-30.535,24.9625,0.0,8201.3,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159310.0,RENOSTERSPRUIT,SHANNON VALLEY (27817207),348.0,1350.0,-29.1442,26.3181,-29.1438,26.3188,0.1,337.9,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159320.0,RIET,KROMDRAAI (27817212),2381.0,1319.0,-29.6581,25.9728,-29.65792,25.97292,0.0,2360.1,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159321.0,RIET,RIVIERA (27817208),596.0,1392.0,-29.8125,26.2117,-29.8125,26.21167,0.0,590.81,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159325.0,OSPOORTSPRUIT,OS POORT (27817209),191.0,1417.0,-29.9025,26.2144,-29.90292,26.21375,0.1,194.69,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159330.0,RIET,KLIPDRIFT,31233.0,-999.0,-29.0425,24.5992,-29.04167,24.59917,0.1,28536.0,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1159333.0,MODDER,LIKATLONG,1650.0,-999.0,-29.1608,26.5722,-29.16083,26.5725,0.0,1638.1,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159335.0,MODDER,TWEERIVIERE,17313.0,-999.0,-29.0286,24.6383,-29.02875,24.63875,0.0,14992.0,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1159337.0,MODDER,GLEN,4542.0,-999.0,-28.9486,26.3211,-28.94917,26.32083,0.1,4527.4,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159400.0,HARTS,TAUNG (27817303),11044.0,1091.0,-27.5735,24.746,-27.57333,24.74583,0.0,10700.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159403.0,HARTS,ESPAGSDRIF,23900.0,-999.0,-27.9032,24.6151,-27.9025,24.615,0.1,24016.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159405.0,HARTS,LLOYDS,30810.0,-999.0,-28.3865,24.2971,-28.38667,24.2975,0.0,30678.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159410.0,VETRIVIER,FLOORSDRIFT (27817502),17754.0,1237.0,-27.8403,25.9044,-27.84083,25.90417,0.1,17926.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159413.0,VETRIVIER,FIZANTKRAAL,16153.0,-999.0,-27.935,26.1244,-27.935,26.12417,0.0,16043.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159415.0,VETRIVIER,VAALKOPPIES,6994.0,-999.0,-28.1444,26.4181,-28.14458,26.41792,0.0,6955.1,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159417.0,SANDRIVIER,BLOUDRIF,7092.0,-999.0,-28.1172,26.7192,-28.1175,26.71917,0.0,7051.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159419.0,DORINGRIVIER,MOND VAN DOORN RIVER,586.35,-999.0,-28.1167,26.7253,-28.11667,26.72583,0.1,588.09,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159450.0,VAAL RIVER,SCHMIDTSDRIF,157830.0,-999.0,-28.7115,24.0729,-28.7104,24.0729,0.1,152437.4,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159490.0,VAAL RIVER,DE HOOP 65,121220.0,-999.0,-28.5162,24.6007,-28.5146,24.6021,0.2,116080.9,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159500.0,VAAL RIVER,DE HOOP 65,120982.0,-999.0,-28.4989,24.6031,-28.4979,24.6062,0.3,116030.2,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159510.0,VALSRIVIER,GROOTDRAAI (27817602),7801.0,1259.0,-27.3986,26.6133,-27.39833,26.61333,0.0,7750.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159511.0,VALSRIVIER,MOOIFONTEIN (27817603),7794.0,1259.0,-27.3997,26.6256,-27.4,26.62583,0.0,7746.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159512.0,VALSRIVIER,KLIPFONTEIN (27817604),863.0,1530.0,-27.9356,27.9964,-27.9375,27.99667,0.2,854.58,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159513.0,VALSRIVIER,KROONSTAD,3289.0,-999.0,-27.6714,27.2369,-27.67125,27.23708,0.0,3539.6,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1159520.0,HEUNINGSPRUIT,DANKBAAR (27817703),905.0,1357.0,-27.3561,27.2856,-27.3562,27.2854,0.0,908.36,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159525.0,RENOSTERRIVIER,ARRIESRUST,5758.0,-999.0,-27.0463,27.0046,-27.04583,27.00417,0.1,5735.7,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159530.0,LEEWDORINGSPRUIT,KLIPSPRUIT (27817465),867.0,1249.0,-27.37,26.3506,-27.37042,26.35042,0.0,902.07,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159535.0,VAAL RIVER,KLIPPLAATDRIFT,79903.0,-999.0,-27.3897,26.4639,-27.3896,26.4646,0.1,80056.9,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159540.0,SANDSPRUIT,LEEGTE (27817467),1895.0,1240.0,-27.5606,26.2333,-27.56125,26.23292,0.1,1412.0,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1159545.0,VAAL RIVER,PILGRIMS ESTATE,63437.0,-999.0,-27.0101,26.6981,-27.0104,26.6979,0.0,63517.7,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1159546.0,KOEKEMOERSPRUIT,BUFFELSFONTEIN,818.0,-999.0,-26.9161,26.8172,-26.915,26.81583,0.2,826.64,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159547.0,MOOIRIVIER,HOOGEKRAAL,-999.0,-999.0,-26.8805,26.9643,-26.8813,26.9604,0.4,5739.6,High,Manual,Station and river name could be identified,hydrosheds
1159548.0,MOOIRIVIER,WITRAND,3595.0,-999.0,-26.6443,27.0903,-26.64417,27.09,0.0,3819.1,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1159549.0,MOOIRIVIERLOOP,BLAAUWBANK,1511.0,-999.0,-26.3702,27.2481,-26.37,27.24833,0.0,1518.6,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159550.0,VAAL RIVER,DE VAAL,49120.0,-999.0,-26.9706,27.2097,-26.97083,27.21083,0.1,49266.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159555.0,VAAL RIVER,WOODLANDS,47222.0,-999.0,-26.7383,27.592,-26.73792,27.59125,0.1,47342.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159560.0,RIETSPRUIT,KAALPLAATS,1121.0,-999.0,-26.7287,27.718,-26.72833,27.7175,0.1,1134.4,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159570.0,KLIPRIVIER,KOOKFONTEIN,2205.0,-999.0,-26.6199,27.9805,-26.62,27.98,0.1,2224.1,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159580.0,SUIKERBOSRANTRIVIER,UITVLUGT,3474.0,-999.0,-26.6708,28.0304,-26.67083,28.03083,0.0,3482.1,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159600.0,STROMBERGSPRUIT,DIEP KLOOF,2400.0,-999.0,-31.04,26.34,-31.03083,26.33,1.4,2174.0,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1159601.0,WONDERBOOMSPRUIT,DIEPKLOOF (27819101),2397.0,1376.0,-31.0011,26.3531,-31.00125,26.35292,0.0,2390.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159650.0,ORANGE RIVER,ALIWAL NOORD (27819103),37070.0,1298.0,-30.6783,26.7164,-30.67792,26.71542,0.1,37000.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159651.0,ORANGE RIVER,ORANJEDRAAI (27819109),24745.0,1394.0,-30.3364,27.3586,-30.33583,27.35833,0.1,24700.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159653.0,KORNETSPRUIT,MAGHALEEN,2990.0,-999.0,-30.1597,27.4014,-30.16,27.40167,0.0,2984.6,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159655.0,ORANGE RIVER,LESOTHO - MANTILANE,10735.0,-999.0,-30.0619,28.5098,-30.06208,28.50958,0.0,10732.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159660.0,KRAAIRIVIER,ROODEWAL (27819111),8689.0,1320.0,-30.8306,26.9206,-30.83,26.92083,0.1,8658.9,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159670.0,LITTLE CALEDON RIVER,THE POPLARS (27818012),522.0,-999.0,-28.6948,28.2349,-28.69458,28.23542,0.1,518.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159673.0,CALEDON RIVER,FICKSBURG,3857.0,-999.0,-28.8839,27.8894,-28.88417,27.89,0.1,3863.3,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159675.0,CALEDON RIVER,WILGERDRAAI,12852.0,-999.0,-29.6167,27.0656,-29.61625,27.06625,0.1,12880.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159800.0,VAAL RIVER,ELANDSFONTEIN ENGELBRECHTSDRIFT,38564.0,-999.0,-26.8202,28.0633,-26.82,28.06333,0.0,38658.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159805.0,WILGERIVIER,FRANKFORT,15673.0,-999.0,-27.2717,28.4911,-27.27167,28.49083,0.0,15655.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159810.0,WILGERIVIER,SLABBERTS (27817822),15522.0,1498.0,-27.2983,28.4956,-27.29917,28.49583,0.1,15463.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159811.0,LIEBENBERGSVLEIRIVIER,FREDERIKSDAL,4650.0,-999.0,-27.4308,28.5264,-27.43083,28.52667,0.0,4649.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159813.0,WILGERIVIER,BALLINGTOMP,10489.0,-999.0,-27.3014,28.5856,-27.30125,28.58542,0.0,10536.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159815.0,WILGERIVIER,BAVARIA,7497.0,-999.0,-27.8028,28.7675,-27.8025,28.7675,0.0,7499.7,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159820.0,CORNELISRIVIER,C8H003 (27817803),864.0,1091.0,-27.845,28.9622,-27.845,28.9625,0.0,860.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159825.0,VAALBANKSPRUIT,VOORSPOED (27817812),393.0,1597.0,-28.085,28.8369,-28.085,28.83667,0.0,388.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159830.0,ELANDSRIVIER,C8H005 (27817805),690.0,-999.0,-28.3758,28.8603,-28.37542,28.86042,0.0,697.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159850.0,RIETFONTEINSPRUIT,RIETFONTEIN (27817428),32.0,1602.0,-26.2481,27.5894,-26.24875,27.58958,0.1,31.801,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159855.0,KOCKSOORTDSPRUIT,MIDDELVLEI (27817427),5.0,1630.0,-26.2336,27.6519,-26.238,27.655,0.6,4.9,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159860.0,MIDDELVLEISPRUIT,MIDDELVLEI (27817426),26.0,1614.0,-26.2328,27.6686,-26.2325,27.66833,0.0,25.16,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159880.0,VAAL RIVER,NOOITGEDACHT,15500.0,-999.0,-27.0023,28.7653,-27.00208,28.76542,0.0,15572.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159890.0,VAAL RIVER,GOEDGELUK,4686.0,-999.0,-26.8411,29.7234,-26.84125,29.72292,0.1,4719.7,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159900.0,KLIPRIVIER,DELANGESDRIFT,4152.0,-999.0,-27.1698,29.2333,-27.17,29.23333,0.0,4150.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1159910.0,WATERVALRIVIER,ELANDSLAAGTE (27817908),2239.0,1520.0,-26.8613,28.8846,-26.86208,28.88542,0.1,2230.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1160091.0,OLIFANTS,CITRUSDAL,908.0,-999.0,-32.5964,19.0083,-32.59583,19.00917,0.1,890.2,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1160095.0,OLIFANTS,VISGAT,121.0,-999.0,-33.0888,19.2188,-33.08917,19.21833,0.1,120.78,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1160100.0,RIVIERSONDEREND,DWARSHOEK (27694403),502.0,307.0,-34.0775,19.29,-34.07833,19.28917,0.1,498.72,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1160101.0,RIVIERSONDEREND,SWARTE WATER (27694408),39.0,380.0,-34.0622,19.0722,-34.06292,19.07125,0.1,39.068,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1160102.0,RIVIERSONDEREND,REENEN,2008.0,-999.0,-34.0789,20.1442,-34.07917,20.14417,0.0,2008.5,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1160113.0,PALMIETRIVIER,FARM 562-WELGEMOED,464.0,-999.0,-34.3294,18.9883,-34.32917,18.98833,0.0,464.14,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1160115.0,KLEINRIVIER,HAGEDISBERG OUTSPAN (27711206),599.0,55.0,-34.4053,19.5961,-34.40542,19.59625,0.0,600.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
